24-06-12 19:19:00.934 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) 
24-06-12 19:19:01.007 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
24-06-12 19:19:01.017 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-06-12 19:19:01.018 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83] 
24-06-12 19:19:01.667 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
24-06-12 19:19:01.668 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6035 ms 
24-06-12 19:19:03.003 [cluster-ClusterId{value='6669a74e1ca339600b817f39', description='null'}-srv-cluster0.7luziue.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-lkhf5h1-shard-00-00.7luziue.mongodb.net:27017 to client view of cluster 
24-06-12 19:19:03.134 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.11+7-LTS-207", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='vanashreebodkhe4', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@14fded9d]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.7luziue.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-dea82s-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
24-06-12 19:19:03.266 [cluster-ClusterId{value='6669a74e1ca339600b817f39', description='null'}-srv-cluster0.7luziue.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-lkhf5h1-shard-00-02.7luziue.mongodb.net:27017 to client view of cluster 
24-06-12 19:19:03.271 [cluster-ClusterId{value='6669a74e1ca339600b817f39', description='null'}-srv-cluster0.7luziue.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-lkhf5h1-shard-00-01.7luziue.mongodb.net:27017 to client view of cluster 
24-06-12 19:19:04.499 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@f238e4f from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-lkhf5h1-shard-00-02.7luziue.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-lkhf5h1-shard-00-01.7luziue.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-lkhf5h1-shard-00-00.7luziue.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
